Día,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
1,"14.097,38","14.111,48","14.185,63","14.203,38","14.241,35","14.298,81","14.334,54","14.374,09","14.427,88","14.474,51","14.539,78","14.643,83"
2,"14.097,83","14.111,94","14.189,16","14.202,92","14.243,25","14.300,65","14.335,49","14.375,48","14.429,74","14.475,96","14.542,12","14.647,72"
3,"14.098,29","14.112,39","14.192,70","14.202,47","14.245,14","14.302,49","14.336,45","14.376,87","14.431,60","14.477,40","14.544,46","14.651,61"
4,"14.098,74","14.112,85","14.196,23","14.202,01","14.247,04","14.304,33","14.337,40","14.378,26","14.433,45","14.478,85","14.546,80","14.655,50"
5,"14.099,20","14.113,30","14.199,77","14.201,55","14.248,93","14.306,18","14.338,36","14.379,65","14.435,31","14.480,29","14.549,14","14.659,40"
6,"14.099,65","14.113,76","14.203,31","14.201,09","14.250,83","14.308,02","14.339,31","14.381,04","14.437,17","14.481,74","14.551,49","14.663,29"
7,"14.100,11","14.114,21","14.206,85","14.200,63","14.252,73","14.309,86","14.340,27","14.382,43","14.439,03","14.483,19","14.553,83","14.667,18"
8,"14.100,56","14.114,67","14.210,39","14.200,17","14.254,62","14.311,70","14.341,22","14.383,82","14.440,89","14.484,63","14.556,17","14.671,08"
9,"14.101,02","14.115,12","14.213,93","14.199,72","14.256,52","14.313,55","14.342,18","14.385,21","14.442,75","14.486,08","14.558,51","14.674,98"
10,"14.101,47","14.118,64","14.213,47","14.201,61","14.258,36","14.314,50","14.343,57","14.387,06","14.444,19","14.488,41","14.562,38","14.675,45"
11,"14.101,93","14.122,15","14.213,01","14.203,50","14.260,19","14.315,46","14.344,95","14.388,92","14.445,63","14.490,74","14.566,25","14.675,93"
12,"14.102,38","14.125,67","14.212,55","14.205,39","14.262,03","14.316,41","14.346,34","14.390,77","14.447,08","14.493,07","14.570,12","14.676,40"
13,"14.102,84","14.129,19","14.212,10","14.207,28","14.263,87","14.317,36","14.347,72","14.392,62","14.448,52","14.495,41","14.573,99","14.676,87"
14,"14.103,29","14.132,71","14.211,64","14.209,17","14.265,70","14.318,32","14.349,11","14.394,48","14.449,96","14.497,74","14.577,86","14.677,35"
15,"14.103,75","14.136,23","14.211,18","14.211,06","14.267,54","14.319,27","14.350,50","14.396,33","14.451,41","14.500,07","14.581,73","14.677,82"
16,"14.104,20","14.139,76","14.210,72","14.212,95","14.269,38","14.320,22","14.351,88","14.398,18","14.452,85","14.502,40","14.585,60","14.678,29"
17,"14.104,66","14.143,28","14.210,26","14.214,84","14.271,21","14.321,18","14.353,27","14.400,04","14.454,29","14.504,74","14.589,48","14.678,77"
18,"14.105,11","14.146,80","14.209,80","14.216,74","14.273,05","14.322,13","14.354,66","14.401,89","14.455,73","14.507,07","14.593,35","14.679,24"
19,"14.105,57","14.150,33","14.209,34","14.218,63","14.274,89","14.323,09","14.356,05","14.403,75","14.457,18","14.509,41","14.597,23","14.679,71"
20,"14.106,02","14.153,85","14.208,88","14.220,52","14.276,73","14.324,04","14.357,43","14.405,60","14.458,62","14.511,74","14.601,11","14.680,19"
21,"14.106,48","14.157,38","14.208,43","14.222,41","14.278,57","14.324,99","14.358,82","14.407,46","14.460,07","14.514,07","14.604,99","14.680,66"
22,"14.106,93","14.160,91","14.207,97","14.224,31","14.280,41","14.325,95","14.360,21","14.409,31","14.461,51","14.516,41","14.608,87","14.681,13"
23,"14.107,39","14.164,44","14.207,51","14.226,20","14.282,25","14.326,90","14.361,60","14.411,17","14.462,95","14.518,75","14.612,75","14.681,61"
24,"14.107,84","14.167,97","14.207,05","14.228,09","14.284,08","14.327,86","14.362,98","14.413,02","14.464,40","14.521,08","14.616,63","14.682,08"
25,"14.108,30","14.171,50","14.206,59","14.229,98","14.285,92","14.328,81","14.364,37","14.414,88","14.465,84","14.523,42","14.620,51","14.682,55"
26,"14.108,75","14.175,03","14.206,13","14.231,88","14.287,76","14.329,77","14.365,76","14.416,74","14.467,29","14.525,76","14.624,39","14.683,03"
27,"14.109,21","14.178,56","14.205,68","14.233,77","14.289,60","14.330,72","14.367,15","14.418,59","14.468,73","14.528,09","14.628,28","14.683,50"
28,"14.109,66","14.182,09","14.205,22","14.235,67","14.291,44","14.331,67","14.368,54","14.420,45","14.470,18","14.530,43","14.632,17","14.683,97"
29,"14.110,12",,"14.204,76","14.237,56","14.293,28","14.332,63","14.369,92","14.422,31","14.471,62","14.532,77","14.636,05","14.684,45"
30,"14.110,57",,"14.204,30","14.239,46","14.295,13","14.333,58","14.371,31","14.424,16","14.473,07","14.535,11","14.639,94","14.684,92"
31,"14.111,03",,"14.203,84",,"14.296,97",,"14.372,70","14.426,02",,"14.537,44",,"14.685,39"
