Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;23.312,57;23.440,40;23.510,14;23.610,77;23.779,73;23.936,31;24.026,01;24.063,05;24.104,97;24.170,44;24.333,18;24.561,84
2;23.315,57;23.444,92;23.511,82;23.614,57;23.786,04;23.940,93;24.028,41;24.063,82;24.106,52;24.172,85;24.339,44;24.569,99
3;23.318,57;23.449,44;23.513,49;23.618,37;23.792,36;23.945,55;24.030,81;24.064,60;24.108,07;24.175,26;24.345,69;24.578,14
4;23.321,57;23.453,97;23.515,17;23.622,17;23.798,68;23.950,17;24.033,21;24.065,38;24.109,63;24.177,68;24.351,95;24.586,30
5;23.324,58;23.458,50;23.516,85;23.625,97;23.805,01;23.954,79;24.035,61;24.066,15;24.111,18;24.180,09;24.358,21;24.594,45
6;23.327,58;23.463,02;23.518,53;23.629,77;23.811,33;23.959,42;24.038,01;24.066,93;24.112,74;24.182,51;24.364,47;24.602,61
7;23.330,58;23.467,55;23.520,21;23.633,57;23.817,65;23.964,04;24.040,41;24.067,70;24.114,29;24.184,92;24.370,74;24.610,77
8;23.333,59;23.472,08;23.521,88;23.637,37;23.823,98;23.968,67;24.042,81;24.068,48;24.115,84;24.187,34;24.377,00;24.618,94
9;23.336,59;23.476,61;23.523,56;23.641,18;23.830,31;23.973,29;24.045,21;24.069,26;24.117,40;24.189,75;24.383,27;24.627,10
10;23.341,09;23.478,29;23.527,34;23.647,46;23.834,91;23.975,68;24.045,99;24.070,81;24.119,81;24.195,97;24.391,36;24.627,10
11;23.345,60;23.479,96;23.531,13;23.653,74;23.839,51;23.978,08;24.046,76;24.072,36;24.122,22;24.202,19;24.399,45;24.627,10
12;23.350,10;23.481,64;23.534,92;23.660,03;23.844,11;23.980,47;24.047,54;24.073,91;24.124,63;24.208,41;24.407,54;24.627,10
13;23.354,61;23.483,31;23.538,70;23.666,31;23.848,71;23.982,87;24.048,31;24.075,47;24.127,03;24.214,63;24.415,64;24.627,10
14;23.359,12;23.484,99;23.542,49;23.672,60;23.853,31;23.985,26;24.049,09;24.077,02;24.129,44;24.220,86;24.423,74;24.627,10
15;23.363,63;23.486,66;23.546,28;23.678,89;23.857,92;23.987,66;24.049,86;24.078,57;24.131,85;24.227,08;24.431,84;24.627,10
16;23.368,13;23.488,34;23.550,07;23.685,18;23.862,52;23.990,05;24.050,64;24.080,12;24.134,26;24.233,31;24.439,95;24.627,10
17;23.372,64;23.490,02;23.553,86;23.691,47;23.867,13;23.992,45;24.051,41;24.081,67;24.136,67;24.239,54;24.448,06;24.627,10
18;23.377,15;23.491,69;23.557,65;23.697,76;23.871,73;23.994,84;24.052,19;24.083,23;24.139,08;24.245,77;24.456,17;24.627,10
19;23.381,67;23.493,37;23.561,44;23.704,06;23.876,34;23.997,24;24.052,96;24.084,78;24.141,49;24.252,01;24.464,28;24.627,10
20;23.386,18;23.495,04;23.565,23;23.710,35;23.880,95;23.999,64;24.053,74;24.086,33;24.143,90;24.258,24;24.472,39;24.627,10
21;23.390,69;23.496,72;23.569,02;23.716,65;23.885,56;24.002,03;24.054,51;24.087,88;24.146,31;24.264,48;24.480,51;24.627,10
22;23.395,21;23.498,40;23.572,81;23.722,95;23.890,17;24.004,43;24.055,29;24.089,44;24.148,73;24.270,72;24.488,63;24.627,10
23;23.399,72;23.500,07;23.576,61;23.729,25;23.894,78;24.006,83;24.056,07;24.090,99;24.151,14;24.276,95;24.496,76;24.627,10
24;23.404,24;23.501,75;23.580,40;23.735,56;23.899,39;24.009,22;24.056,84;24.092,54;24.153,55;24.283,20;24.504,88;24.627,10
25;23.408,75;23.503,43;23.584,19;23.741,86;23.904,00;24.011,62;24.057,62;24.094,09;24.155,96;24.289,44;24.513,01;24.627,10
26;23.413,27;23.505,11;23.587,99;23.748,17;23.908,61;24.014,02;24.058,39;24.095,65;24.158,37;24.295,68;24.521,14;24.627,10
27;23.417,79;23.506,78;23.591,78;23.754,48;23.913,23;24.016,42;24.059,17;24.097,20;24.160,79;24.301,93;24.529,28;24.627,10
28;23.422,31;23.508,46;23.595,58;23.760,79;23.917,84;24.018,81;24.059,94;24.098,75;24.163,20;24.308,17;24.537,42;24.627,10
29;23.426,83;;23.599,38;23.767,10;23.922,46;24.021,21;24.060,72;24.100,31;24.165,61;24.314,42;24.545,56;24.627,10
30;23.431,35;;23.603,17;23.773,41;23.927,08;24.023,61;24.061,50;24.101,86;24.168,02;24.320,67;24.553,70;24.627,10
31;23.435,87;;23.606,97;;23.931,69;;24.062,27;24.103,41;;24.326,93;;24.627,10
